id,observed_on_string,observed_on,time_observed_at,time_zone,out_of_range,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,id_please,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
26740413,2019-02-13,2019-02-13,,UTC,false,1855524,catarina_biologa,2019-06-10 12:14:05 UTC,2019-11-23 00:40:02 UTC,needs_id,,https://www.inaturalist.org/observations/26740413,https://static.inaturalist.org/photos/41540434/medium.jpeg?1560168850,,"",Bebé / babys,false,0,0,false,2,"Residências de Estudantes, 3810-193, Portugal",40.6222597185,-8.6595178396,9,,open,false,gps,gps,Shrews,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
28249086,2019-07-05 8:54:22 PM GMT+01:00,2019-07-05,2019-07-05 18:54:22 UTC,Amsterdam,false,689154,pedrotiagoferreira,2019-07-05 20:06:49 UTC,2019-07-14 22:00:45 UTC,research,,https://www.inaturalist.org/observations/28249086,https://static.inaturalist.org/photos/44022729/medium.jpeg?1562357216,,"",,false,2,0,false,2,"Braga, Portugal",41.5142631531,-8.4467124939,,,open,false,gps,gps,Musaranho-de-dentes-brancos,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
30100652,2019/08/02 11:48 AM WEST,2019-08-02,2019-08-02 10:48:00 UTC,Lisbon,,2078896,sergiojaz,2019-08-03 13:54:39 UTC,2019-08-05 09:03:25 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/30100652,https://static.inaturalist.org/photos/47007683/medium.jpeg?1564840242,,"",morto recente,false,0,0,false,,"Sesimbra, Portugal",38.4158574141,-9.1999679804,61,,,false,,,soricidade,Soricidae,Shrews,Mammalia,46341
31620105,2019/08/13 1:14 PM HST,2019-08-13,2019-08-13 23:14:00 UTC,Hawaii,false,1800231,lgordinho,2019-08-27 17:19:39 UTC,2019-08-27 17:19:39 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/31620105,https://static.inaturalist.org/photos/49504780/medium.jpg?1566926138,,"","",false,0,0,false,,"3865 Salreu, Portugal",40.7233317879,-8.593865839,15,,open,false,,,Crocidura russula,Crocidura russula,Greater White-toothed Shrew,Mammalia,46640
31630841,2019-08-24 4:38:51 da tarde WEST,2019-08-24,2019-08-24 15:38:51 UTC,Europe/London,,1355499,joaotiagotavares,2019-08-27 20:04:46 UTC,2019-09-05 16:58:25 UTC,needs_id,,https://www.inaturalist.org/observations/31630841,https://static.inaturalist.org/photos/49523323/medium.jpeg?1566936291,,"",Dentes brancos Crocidura russula??,false,0,0,false,2,"Vila do Bispo, PT-FA, PT",37.0835016667,-8.8288816667,5,,,false,,,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
32556010,2019-08-30 9:50:46 am WEST,2019-08-30,2019-08-30 08:50:46 UTC,Europe/London,,715343,davidrosario,2019-09-11 22:44:06 UTC,2019-09-13 20:05:34 UTC,needs_id,,https://www.inaturalist.org/observations/32556010,https://static.inaturalist.org/photos/51073852/medium.jpeg?1568241878,,"",,false,1,0,false,2,"Agualva, Portugal",38.7759590149,-9.3020553589,,,,false,gps,gps,Белозубки,Crocidura,Musk Shrews,Mammalia,46557
33548009,Sat Sep 28 2019 19:03:12 GMT+0100 (GMT+1),2019-09-28,2019-09-28 17:03:12 UTC,Amsterdam,,1334913,zepedro96,2019-09-28 19:38:41 UTC,2019-09-30 07:08:22 UTC,needs_id,,https://www.inaturalist.org/observations/33548009,https://static.inaturalist.org/photos/52697182/medium.jpg?1569699525,,"",,false,1,0,false,3,"Santo Aleixo de Além-Tâmega, Ribeira de Pena, Vila Real, PT",41.5622122335,-7.819384315,22,,,false,,,Musaranhos,Soricidae,Shrews,Mammalia,46341
33905730,2019-10-04 8:23:29 p.m. WEST,2019-10-04,2019-10-04 19:23:29 UTC,Lisbon,,727794,vitoreca,2019-10-05 18:49:49 UTC,2019-10-05 18:49:56 UTC,needs_id,CC-BY-NC,https://www.inaturalist.org/observations/33905730,https://static.inaturalist.org/photos/53303007/medium.jpeg?1570301392,,"",,false,0,0,false,2,"Santo Estêvã, 4805 Briteiros (Santo Estêvão), Portugal",41.5182288557,-8.3105282485,17,,,false,gps,gps,Musk Shrews,Crocidura,Musk Shrews,Mammalia,46557
34820573,2019-10-24 10:04:37 AM GMT+01:00,2019-10-24,2019-10-24 08:04:37 UTC,Amsterdam,false,962355,portugaltee,2019-10-24 09:19:40 UTC,2019-10-24 09:19:48 UTC,needs_id,,https://www.inaturalist.org/observations/34820573,https://static.inaturalist.org/photos/54849710/medium.jpeg?1571908785,,"",Juvenile,false,0,0,false,2,"2065-556 Vila Nova de São Pedro, Portugal",39.2155570984,-8.8408336639,,,open,false,gps,gps,Lesser White-toothed Shrew,Crocidura suaveolens,Lesser White-toothed Shrew,Mammalia,46631
35416883,2019-01-24 12:04:08 PM GMT+00:00,2019-01-24,2019-01-24 12:04:08 UTC,Edinburgh,,2391412,kikacoutinho,2019-11-07 18:20:43 UTC,2019-11-07 18:21:11 UTC,needs_id,,https://www.inaturalist.org/observations/35416883,https://static.inaturalist.org/photos/55844654/medium.jpeg?1573150867,,"",,false,0,0,false,2,"Coruche, 2100 Coruche, Portugal",38.9899827086,-8.5185617208,33657,,,false,gps,gps,Musaranhos,Soricidae,Shrews,Mammalia,46341
