id,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,place_town_name,place_county_name,place_state_name,place_country_name,place_admin1_name,place_admin2_name,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
22968165,2018/07/01 4:31 PM BST,2018-07-01,2018-07-01 15:31:00 UTC,Edinburgh,1462872,avepel,2019-04-23 22:52:28 UTC,2019-10-30 21:33:31 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22968165,https://static.inaturalist.org/photos/35602224/medium.jpeg?1556059759,,"",,6,0,false,,"Arcos de Valdevez, 4970, Portugal",41.9743454691,-8.2235743315,999,,open,false,,,,Arcos de Valdevez,,Portugal,Viana do Castelo,Arcos de Valdevez,Gaio,Garrulus glandarius,Eurasian Jay,Aves,8088
22999415,2018-10-15,2018-10-15,,Lisbon,1657627,inesmalhadas,2019-04-24 15:28:03 UTC,2019-04-29 16:22:12 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22999415,https://static.inaturalist.org/photos/35655008/medium.jpg?1556119690,,"",,2,0,false,2,"Calhariz (Escola), 1500-378 Lisboa, Portugal",38.7479859902,-9.1932579875,17,,open,false,gps,gps,,Lisboa,,Portugal,Lisboa,Lisboa,Feral Pigeon,Columba livia domestica,Feral Pigeon,Aves,122767
22999648,2018-10-15,2018-10-15,,Lisbon,1657627,inesmalhadas,2019-04-24 15:33:01 UTC,2019-11-03 15:31:18 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/22999648,https://static.inaturalist.org/photos/35655368/medium.jpg?1556119984,,"",,3,0,false,2,"Calhariz (Escola), 1500-378 Lisboa, Portugal",38.747999,-9.1937775,19,,open,false,,,,Lisboa,,Portugal,Lisboa,Lisboa,Pato-real,Anas platyrhynchos,Mallard,Aves,6930
23017164,2018/07/01 4:36 PM BST,2018-07-01,2018-07-01 15:36:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:50 UTC,2019-10-30 21:33:28 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017164,https://static.inaturalist.org/photos/35679953/medium.jpeg?1556138762,,"",,4,0,false,,"Arcos de Valdevez, 4970, Portugal",41.9744346451,-8.2227006759,999,,open,false,,,,Arcos de Valdevez,,Portugal,Viana do Castelo,Arcos de Valdevez,Rabirrubio tizón,Phoenicurus ochruros,Black Redstart,Aves,13000
23017167,2018/07/02 7:43 AM BST,2018-07-02,2018-07-02 06:43:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:50 UTC,2019-10-19 17:28:43 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017167,https://static.inaturalist.org/photos/35679959/medium.jpeg?1556138766,,"",,4,0,false,,"Melgaço, 4960, Portugal",42.1202947275,-8.2748555232,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Huppe fasciée,Upupa epops,Common Hoopoe,Aves,20969
23017168,2018/07/02 7:49 AM BST,2018-07-02,2018-07-02 06:49:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:50 UTC,2019-04-24 21:19:03 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017168,https://static.inaturalist.org/photos/35679961/medium.jpeg?1556138770,,"",,1,0,false,,,42.0462435378,-8.3150205042,999,,obscured,true,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Grive musicienne,Turdus philomelos,Song Thrush,Aves,12748
23017171,2018/07/02 9:43 AM BST,2018-07-02,2018-07-02 08:43:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:52 UTC,2019-04-29 13:54:51 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017171,https://static.inaturalist.org/photos/35679968/medium.jpeg?1556138776,,"",,2,0,false,,"Melgaço, 4960, Portugal",42.1096258577,-8.2811281053,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Black Kite,Milvus migrans,Black Kite,Aves,5268
23017173,2018/07/02 9:46 AM BST,2018-07-02,2018-07-02 08:46:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:53 UTC,2019-04-29 13:54:48 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017173,https://static.inaturalist.org/photos/35679980/medium.jpeg?1556138782,,"",,2,0,false,,"Melgaço, 4960, Portugal",42.1097242878,-8.2811853268,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Common House Martin,Delichon urbicum,Common House Martin,Aves,64705
23017174,2018/07/02 11:31 AM BST,2018-07-02,2018-07-02 10:31:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:53 UTC,2019-04-25 21:42:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017174,https://static.inaturalist.org/photos/35679989/medium.jpeg?1556138791,,"",,1,0,false,,"Melgaço, 4960, Portugal",42.0617376255,-8.1877057228,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Greater Whitethroat,Sylvia communis,Greater Whitethroat,Aves,15281
23017178,2018/07/02 3:49 PM BST,2018-07-02,2018-07-02 14:49:00 UTC,Edinburgh,1462872,avepel,2019-04-24 20:54:54 UTC,2019-04-24 21:18:41 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/23017178,https://static.inaturalist.org/photos/35679994/medium.jpeg?1556138796,,"",,1,0,false,,"Melgaço, 4960, Portugal",42.1098046586,-8.2809300661,999,,open,false,,,,Melgaço,,Portugal,Viana do Castelo,Melgaço,Bruant zizi,Emberiza cirlus,Cirl Bunting,Aves,9192
